id,nbRooms,surface,nbWindows,price,year,balcony,garage,city,actions
1,4,75,10,250000,2022,true,true,Paris,
2,3,65,5,210000,2021,false,false,Lyon,
3,5,120,12,450000,2019,true,true,Marseille,
4,2,40,3,120000,2023,false,false,Paris,
5,3,80,7,300000,2020,true,true,Lyon,
6,5,150,15,600000,2018,false,true,Marseille,
7,4,90,8,350000,2015,true,false,Paris,
8,3,50,4,180000,2022,false,true,Lyon,
9,4,100,9,400000,2021,true,true,Marseille,
10,2,55,6,200000,2016,true,false,Paris,
11,1,30,2,90000,2020,false,false,Lyon,
12,5,110,11,500000,2017,true,true,Marseille,
13,4,45,4,160000,2021,false,true,Paris,
14,3,70,5,250000,2019,true,false,Lyon,
15,5,130,10,550000,2018,true,undefined,Marseille,